[1][CALL] from=0x57c112, to=0x450595, 0x320bd352() -> None
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x896B73) -> None
  [2][CREATE] from=0x450595, to=0xa54cdb, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xa54Cdb) -> None
  [2][CREATE] from=0x450595, to=0x03eb35, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x03EB35) -> None
  [2][CREATE] from=0x450595, to=0x4138d1, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x4138d1) -> None
  [2][CREATE] from=0x450595, to=0x35cd3c, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x35Cd3C) -> None
  [2][CREATE] from=0x450595, to=0x8508a0, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x8508a0) -> None
  [2][CREATE] from=0x450595, to=0x925205, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x925205) -> None
  [2][CREATE] from=0x450595, to=0xef5080, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xef5080) -> None
  [2][CREATE] from=0x450595, to=0x8a7454, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x8A7454) -> None
  [2][CREATE] from=0x450595, to=0x57f31d, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x57f31D) -> None
  [2][CREATE] from=0x450595, to=0xd8f289, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xd8f289) -> None
  [2][CREATE] from=0x450595, to=0xaaa2aa, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xaaa2aA) -> None
  [2][CREATE] from=0x450595, to=0xf50328, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xf50328) -> None
  [2][CREATE] from=0x450595, to=0xb9c17a, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xb9C17A) -> None
  [2][CREATE] from=0x450595, to=0xc8b054, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xc8B054) -> None
  [2][CREATE] from=0x450595, to=0xda0dec, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xda0dEc) -> None
  [2][CREATE] from=0x450595, to=0x66378c, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x66378c) -> None
  [2][CREATE] from=0x450595, to=0xe9432e, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xE9432E) -> None
  [2][CREATE] from=0x450595, to=0xf44216, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xf44216) -> None
  [2][CREATE] from=0x450595, to=0xf2e96e, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xf2e96e) -> None
  [2][CREATE] from=0x450595, to=0xdde459, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xddE459) -> None
  [2][CREATE] from=0x450595, to=0x157429, atInversebrahint248() -> 0x608060
